TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
," 12,650,753 "," 12,746,540 "," 13,065,261 "," 13,373,989 "," 13,292,320 "," 13,140,406 "," 13,430,446 "," 13,754,713 "," 13,700,583 "," 13,512,368 "," 13,445,264 "," 13,549,854 "," 159,662,497 "
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte," 1,512,430 "," 1,421,249 "," 1,515,821 "," 1,446,877 "," 1,519,693 "," 1,483,847 "," 1,516,020 "," 1,518,198 "," 1,484,538 "," 1,561,251 "," 1,527,926 "," 1,601,461 "," 18,109,311 "
Nordeste," 1,418,229 "," 1,334,852 "," 1,406,118 "," 1,420,732 "," 1,470,331 "," 1,409,494 "," 1,468,801 "," 1,491,492 "," 1,483,206 "," 1,433,428 "," 1,428,592 "," 1,465,888 "," 17,231,162 "
Sudeste," 5,851,781 "," 5,995,518 "," 5,996,037 "," 6,296,396 "," 6,212,217 "," 6,218,818 "," 6,317,967 "," 6,446,500 "," 6,513,401 "," 6,474,880 "," 6,469,574 "," 6,346,902 "," 75,139,991 "
Sul," 2,982,621 "," 3,130,700 "," 3,218,027 "," 3,269,156 "," 3,293,072 "," 3,251,109 "," 3,282,616 "," 3,311,424 "," 3,255,646 "," 3,233,357 "," 3,236,777 "," 3,210,698 "," 38,675,204 "
Centro-Oeste," 885,693 "," 864,221 "," 929,258 "," 940,828 "," 797,006 "," 777,138 "," 845,043 "," 987,098 "," 963,793 "," 809,452 "," 782,394 "," 924,905 "," 10,506,828 "
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados," 1,580,815 "," 1,506,013 "," 1,601,497 "," 1,546,746 "," 1,623,514 "," 1,582,235 "," 1,620,507 "," 1,613,481 "," 1,588,914 "," 1,649,678 "," 1,623,474 "," 1,693,990 "," 19,230,864 "
Norte," 281,485 "," 258,731 "," 286,481 "," 274,048 "," 284,872 "," 290,591 "," 287,396 "," 298,717 "," 290,638 "," 297,804 "," 284,699 "," 314,500 "," 3,449,963 "
Nordeste," 1,129,570 "," 1,051,176 "," 1,103,824 "," 1,120,325 "," 1,154,874 "," 1,087,054 "," 1,144,500 "," 1,168,767 "," 1,155,893 "," 1,110,902 "," 1,110,470 "," 1,125,899 "," 13,463,254 "
Sudeste/C.Oeste," 6,676,262 "," 6,799,919 "," 6,855,433 "," 7,163,714 "," 6,935,987 "," 6,929,417 "," 7,095,427 "," 7,362,323 "," 7,409,492 "," 7,220,628 "," 7,189,844 "," 7,204,767 "," 84,843,212 "
Sul," 2,982,621 "," 3,130,700 "," 3,218,027 "," 3,269,156 "," 3,293,072 "," 3,251,109 "," 3,282,616 "," 3,311,424 "," 3,255,646 "," 3,233,357 "," 3,236,777 "," 3,210,698 "," 38,675,204 "
,,,,,,,,,,,,,
