TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
," 13,592,121 "," 13,683,634 "," 14,276,498 "," 14,511,123 "," 14,557,756 "," 14,582,312 "," 14,569,203 "," 14,860,003 "," 14,866,278 "," 14,952,079 "," 15,025,144 "," 14,892,623 "," 174,368,774 "
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte," 1,684,419 "," 1,534,685 "," 1,688,868 "," 1,633,413 "," 1,706,370 "," 1,661,302 "," 1,725,872 "," 1,733,438 "," 1,682,193 "," 1,736,754 "," 1,692,669 "," 1,751,110 "," 20,231,093 "
Nordeste," 1,463,977 "," 1,349,585 "," 1,477,781 "," 1,505,185 "," 1,530,357 "," 1,519,797 "," 1,600,210 "," 1,631,575 "," 1,601,861 "," 1,677,286 "," 1,634,720 "," 1,666,702 "," 18,659,036 "
Sudeste," 6,562,225 "," 6,763,914 "," 6,822,036 "," 7,075,920 "," 7,047,986 "," 7,111,084 "," 6,971,516 "," 7,122,305 "," 7,301,780 "," 7,202,841 "," 7,342,532 "," 7,168,664 "," 84,492,803 "
Sul," 3,076,182 "," 3,242,424 "," 3,422,830 "," 3,440,913 "," 3,389,772 "," 3,457,263 "," 3,429,560 "," 3,491,402 "," 3,449,196 "," 3,481,710 "," 3,527,309 "," 3,492,849 "," 40,901,410 "
Centro-Oeste," 805,318 "," 793,026 "," 864,983 "," 855,692 "," 883,271 "," 832,866 "," 842,045 "," 881,283 "," 831,248 "," 853,488 "," 827,914 "," 813,298 "," 10,084,432 "
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados," 1,765,200 "," 1,605,786 "," 1,767,873 "," 1,728,817 "," 1,793,683 "," 1,754,396 "," 1,834,976 "," 1,854,580 "," 1,824,469 "," 1,875,176 "," 1,814,759 "," 1,904,699 "," 21,524,414 "
Norte," 297,467 "," 277,773 "," 305,063 "," 309,003 "," 329,344 "," 308,712 "," 323,408 "," 344,833 "," 330,021 "," 336,679 "," 336,924 "," 329,501 "," 3,828,728 "
Nordeste," 1,145,355 "," 1,063,134 "," 1,166,880 "," 1,170,061 "," 1,182,263 "," 1,185,715 "," 1,236,300 "," 1,236,126 "," 1,201,212 "," 1,268,288 "," 1,245,350 "," 1,253,728 "," 14,354,412 "
Sudeste/C.Oeste," 7,307,917 "," 7,494,517 "," 7,613,852 "," 7,862,329 "," 7,862,694 "," 7,876,226 "," 7,744,959 "," 7,933,062 "," 8,061,380 "," 7,990,226 "," 8,100,802 "," 7,911,846 "," 93,759,810 "
Sul," 3,076,182 "," 3,242,424 "," 3,422,830 "," 3,440,913 "," 3,389,772 "," 3,457,263 "," 3,429,560 "," 3,491,402 "," 3,449,196 "," 3,481,710 "," 3,527,309 "," 3,492,849 "," 40,901,410 "
,,,,,,,,,,,,,
