TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
," 12,008,852 "," 12,141,417 "," 12,608,413 "," 12,887,291 "," 12,832,712 "," 13,107,636 "," 13,306,807 "," 13,592,341 "," 13,460,815 "," 13,534,733 "," 13,447,777 "," 13,391,884 "," 156,320,675 "
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte," 1,454,832 "," 1,378,976 "," 1,501,488 "," 1,457,507 "," 1,515,843 "," 1,492,311 "," 1,531,094 "," 1,579,833 "," 1,499,149 "," 1,572,949 "," 1,521,354 "," 1,554,802 "," 18,060,138 "
Nordeste," 1,311,927 "," 1,270,061 "," 1,353,851 "," 1,353,221 "," 1,363,681 "," 1,380,038 "," 1,422,592 "," 1,454,887 "," 1,460,225 "," 1,449,769 "," 1,461,142 "," 1,475,648 "," 16,757,041 "
Sudeste," 5,377,497 "," 5,590,233 "," 5,539,001 "," 5,868,254 "," 5,796,591 "," 6,020,741 "," 6,080,202 "," 6,170,706 "," 6,215,780 "," 6,234,684 "," 6,364,445 "," 6,253,890 "," 71,512,024 "
Sul," 2,999,284 "," 3,048,151 "," 3,299,177 "," 3,298,622 "," 3,252,436 "," 3,273,929 "," 3,301,514 "," 3,397,029 "," 3,324,849 "," 3,307,039 "," 3,187,236 "," 3,170,861 "," 38,860,127 "
Centro-Oeste," 865,312 "," 853,996 "," 914,896 "," 909,687 "," 904,160 "," 940,618 "," 971,404 "," 989,886 "," 960,811 "," 970,292 "," 913,600 "," 936,683 "," 11,131,345 "
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados," 1,487,226 "," 1,417,081 "," 1,533,961 "," 1,526,038 "," 1,554,063 "," 1,553,821 "," 1,595,240 "," 1,655,293 "," 1,580,248 "," 1,624,618 "," 1,574,550 "," 1,603,499 "," 18,705,639 "
Norte," 293,699 "," 287,112 "," 311,457 "," 300,226 "," 306,760 "," 302,912 "," 303,149 "," 315,886 "," 307,398 "," 317,370 "," 320,782 "," 323,814 "," 3,690,567 "
Nordeste," 1,044,744 "," 1,003,692 "," 1,077,344 "," 1,059,966 "," 1,077,982 "," 1,086,874 "," 1,127,606 "," 1,139,298 "," 1,138,628 "," 1,150,478 "," 1,153,223 "," 1,169,929 "," 13,229,764 "
Sudeste/C.Oeste," 6,183,899 "," 6,385,381 "," 6,386,473 "," 6,702,440 "," 6,641,470 "," 6,890,100 "," 6,979,297 "," 7,084,834 "," 7,109,691 "," 7,135,228 "," 7,211,985 "," 7,123,781 "," 81,834,579 "
Sul," 2,999,284 "," 3,048,151 "," 3,299,177 "," 3,298,622 "," 3,252,436 "," 3,273,929 "," 3,301,514 "," 3,397,029 "," 3,324,849 "," 3,307,039 "," 3,187,236 "," 3,170,861 "," 38,860,127 "
,,,,,,,,,,,,,
