TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
," 13,881,895 "," 13,525,095 "," 14,698,971 "," 14,351,534 "," 13,811,374 "," 13,745,642 "," 14,487,341 "," 14,675,005 "," 14,124,083 "," 14,626,597 "," 14,374,971 "," 13,763,118 "," 170,065,626 "
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte," 1,387,953 "," 1,272,118 "," 1,412,726 "," 1,201,375 "," 1,140,222 "," 1,093,149 "," 1,175,186 "," 1,147,372 "," 1,141,265 "," 1,166,230 "," 1,133,785 "," 1,157,441 "," 14,428,821 "
Nordeste," 1,489,193 "," 1,358,089 "," 1,478,488 "," 1,534,423 "," 1,570,171 "," 1,525,352 "," 1,642,937 "," 1,653,272 "," 1,524,429 "," 1,597,176 "," 1,594,819 "," 1,568,215 "," 18,536,565 "
Sudeste," 6,604,939 "," 6,532,410 "," 7,059,975 "," 6,906,168 "," 6,627,395 "," 6,672,747 "," 6,914,781 "," 7,001,535 "," 6,820,517 "," 7,054,656 "," 6,991,448 "," 6,590,123 "," 81,776,695 "
Sul," 3,392,687 "," 3,396,834 "," 3,665,828 "," 3,629,091 "," 3,422,308 "," 3,399,320 "," 3,627,240 "," 3,695,028 "," 3,502,738 "," 3,631,483 "," 3,518,155 "," 3,320,801 "," 42,201,513 "
Centro-Oeste," 1,007,123 "," 965,645 "," 1,081,954 "," 1,080,477 "," 1,051,277 "," 1,055,073 "," 1,127,198 "," 1,177,798 "," 1,135,134 "," 1,177,052 "," 1,136,764 "," 1,126,538 "," 13,122,032 "
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados," 1,633,560 "," 1,508,720 "," 1,654,173 "," 1,449,608 "," 1,381,351 "," 1,321,179 "," 1,418,212 "," 1,404,614 "," 1,367,553 "," 1,413,545 "," 1,385,131 "," 1,388,142 "," 17,325,788 "
Norte," 248,103 "," 231,449 "," 254,078 "," 245,226 "," 242,548 "," 250,867 "," 267,749 "," 264,815 "," 258,430 "," 258,629 "," 258,242 "," 249,451 "," 3,029,587 "
Nordeste," 1,065,173 "," 951,642 "," 1,049,029 "," 1,108,329 "," 1,151,176 "," 1,110,730 "," 1,198,802 "," 1,201,417 "," 1,103,414 "," 1,160,288 "," 1,158,360 "," 1,154,485 "," 13,412,846 "
Sudeste/C.Oeste," 7,542,372 "," 7,436,450 "," 8,075,863 "," 7,919,279 "," 7,613,991 "," 7,663,546 "," 7,975,339 "," 8,109,131 "," 7,891,948 "," 8,162,652 "," 8,055,084 "," 7,650,238 "," 94,095,893 "
Sul," 3,392,687 "," 3,396,834 "," 3,665,828 "," 3,629,091 "," 3,422,308 "," 3,399,320 "," 3,627,240 "," 3,695,028 "," 3,502,738 "," 3,631,483 "," 3,518,155 "," 3,320,801 "," 42,201,513 "
,,,,,,,,,,,,,
