TOTAL INDUSTRIAL (CATIVO + LIVRE),JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
," 13,424,547 "," 14,077,520 "," 14,765,879 "," 14,921,086 "," 15,025,175 "," 15,179,562 "," 15,303,363 "," 15,456,385 "," 15,405,246 "," 15,434,091 "," 15,316,639 "," 15,168,814 "," 179,478,307 "
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte," 1,721,056 "," 1,594,010 "," 1,747,632 "," 1,677,200 "," 1,746,886 "," 1,715,665 "," 1,776,325 "," 1,793,283 "," 1,756,937 "," 1,803,423 "," 1,742,706 "," 1,806,191 "," 20,881,314 "
Nordeste," 1,534,670 "," 1,543,071 "," 1,688,673 "," 1,597,801 "," 1,661,722 "," 1,651,763 "," 1,667,907 "," 1,641,034 "," 1,648,420 "," 1,697,768 "," 1,612,973 "," 1,507,107 "," 19,452,909 "
Sudeste," 6,281,945 "," 6,709,035 "," 6,918,150 "," 7,207,152 "," 7,023,690 "," 7,225,622 "," 7,217,916 "," 7,394,330 "," 7,385,934 "," 7,306,908 "," 7,370,787 "," 7,282,288 "," 85,323,757 "
Sul," 3,013,076 "," 3,363,572 "," 3,492,550 "," 3,531,652 "," 3,672,762 "," 3,642,029 "," 3,674,334 "," 3,662,324 "," 3,662,952 "," 3,679,691 "," 3,671,211 "," 3,637,120 "," 42,703,273 "
Centro-Oeste," 873,800 "," 867,832 "," 918,874 "," 907,281 "," 920,115 "," 944,483 "," 966,881 "," 965,414 "," 951,003 "," 946,301 "," 918,962 "," 936,108 "," 11,117,054 "
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas Isolados," 1,806,734 "," 1,693,585 "," 1,859,884 "," 1,787,085 "," 1,856,827 "," 1,833,401 "," 1,885,727 "," 1,944,884 "," 1,892,653 "," 1,937,718 "," 1,893,391 "," 1,926,160 "," 22,318,049 "
Norte," 321,763 "," 324,448 "," 362,149 "," 337,246 "," 350,061 "," 354,224 "," 368,208 "," 371,455 "," 365,737 "," 368,891 "," 360,001 "," 363,627 "," 4,247,810 "
Nordeste," 1,162,807 "," 1,158,238 "," 1,255,272 "," 1,194,391 "," 1,240,819 "," 1,218,458 "," 1,231,262 "," 1,160,162 "," 1,186,955 "," 1,230,285 "," 1,136,563 "," 1,061,575 "," 14,236,787 "
Sudeste/C.Oeste," 7,120,167 "," 7,537,677 "," 7,796,024 "," 8,070,712 "," 7,904,706 "," 8,131,450 "," 8,143,832 "," 8,317,560 "," 8,296,949 "," 8,217,506 "," 8,255,473 "," 8,180,332 "," 95,972,388 "
Sul," 3,013,076 "," 3,363,572 "," 3,492,550 "," 3,531,652 "," 3,672,762 "," 3,642,029 "," 3,674,334 "," 3,662,324 "," 3,662,952 "," 3,679,691 "," 3,671,211 "," 3,637,120 "," 42,703,273 "
,,,,,,,,,,,,,
